Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2016.08.01 12:26:02;Sell;0.10;GBPUSD;1.32082;;1.31852;2016.08.01 12:53:53;1.31852;;;23.00;[tp]
2016.08.01 12:12:00;Sell;0.07;GBPUSD;1.31983;;1.31852;2016.08.01 12:53:53;1.31852;;;9.17;[tp]
2016.08.01 12:06:02;Sell;0.04;GBPUSD;1.31926;;1.31852;2016.08.01 12:53:53;1.31852;;;2.96;[tp]
2016.08.01 11:52:00;Sell;0.04;GBPUSD;1.31876;;1.31852;2016.08.01 12:53:53;1.31852;;;0.96;[tp]
2016.08.01 11:39:00;Sell;0.02;GBPUSD;1.31836;;1.31852;2016.08.01 12:53:53;1.31852;;;-0.32;[tp]
2016.08.01 11:35:00;Sell;0.01;GBPUSD;1.31815;;1.31852;2016.08.01 12:53:53;1.31852;;;-0.37;[tp]
2016.08.01 11:15:00;Sell;0.01;GBPUSD;1.31802;;1.31852;2016.08.01 12:53:53;1.31852;;;-0.50;[tp]
2016.08.01 11:10:02;Sell;0.02;GBPUSD;1.31790;;1.31852;2016.08.01 12:53:53;1.31852;;;-1.24;[tp]
2016.08.01 11:08:00;Sell;0.01;GBPUSD;1.31774;;1.31852;2016.08.01 12:53:53;1.31852;;;-0.78;[tp]
2016.08.01 08:23:00;Buy;0.03;USDCAD;1.30428;;1.30519;2016.08.01 08:49:23;1.30519;;;2.09;[tp]
2016.08.01 08:22:01;Buy;0.02;USDCAD;1.30461;;1.30519;2016.08.01 08:49:23;1.30519;;;0.89;[tp]
2016.08.01 08:05:00;Buy;0.03;USDCAD;1.30481;;1.30519;2016.08.01 08:49:23;1.30519;;;0.87;[tp]
2016.08.01 08:03:01;Buy;0.02;USDCAD;1.30507;;1.30519;2016.08.01 08:49:23;1.30519;;;0.18;[tp]
2016.08.01 08:01:00;Buy;0.01;USDCAD;1.30523;;1.30519;2016.08.01 08:49:23;1.30519;;;-0.03;[tp]
2016.07.29 16:08:01;Buy;0.21;USDJPY;102.273;;102.320;2016.07.29 16:37:36;102.278;;;1.03;
2016.07.29 16:12:01;Buy;0.29;USDJPY;102.219;;102.320;2016.07.29 16:37:33;102.279;;;17.01;
2016.07.29 16:17:00;Buy;0.40;USDJPY;102.159;;102.320;2016.07.29 16:37:32;102.281;;;47.71;
2016.07.29 00:45:47;Buy;0.05;USDJPY;104.300;;104.907;2016.07.29 03:44:11;104.907;;;28.93;[tp]
2016.07.28 19:25:47;Buy;0.05;USDJPY;105.443;;104.907;2016.07.29 03:44:11;104.907;;-0.06;-25.55;[tp]
2016.07.28 19:58:10;Buy;0.05;USDJPY;105.345;;105.084;2016.07.28 23:08:02;104.835;;;-24.32;
2016.07.28 22:47:42;Buy;0.10;USDJPY;104.656;104.683;105.084;2016.07.28 23:07:59;104.835;;;17.07;
2016.07.28 18:04:49;Buy;0.05;GBPUSD;1.31532;;1.31663;2016.07.28 20:16:25;1.31644;;;5.60;
2016.07.28 18:16:17;Buy;0.05;GBPUSD;1.31460;;1.31663;2016.07.28 20:16:05;1.31644;;;9.20;
2016.07.28 17:09:15;Sell;0.05;GBPUSD;1.31400;1.31569;1.31332;2016.07.28 17:46:20;1.31569;;;-8.45;[sl]
2016.07.28 16:18:56;Sell;0.05;GBPUSD;1.31436;1.31563;;2016.07.28 17:45:56;1.31563;;;-6.35;[sl]
2016.07.28 11:29:05;Buy;0.02;EURUSD;1.10821;;1.10944;2016.07.28 12:30:39;1.10944;;;2.46;[tp]
2016.07.28 11:27:07;Buy;0.02;EURUSD;1.10843;;1.10944;2016.07.28 12:30:39;1.10944;;;2.02;[tp]
2016.07.28 11:26:01;Buy;0.01;EURUSD;1.10859;;1.10944;2016.07.28 12:30:39;1.10944;;;0.85;[tp]
2016.07.28 11:23:00;Buy;0.01;EURUSD;1.10877;;1.10944;2016.07.28 12:30:39;1.10944;;;0.67;[tp]
2016.07.28 07:31:00;Sell;0.21;EURUSD;1.11149;;1.10981;2016.07.28 07:50:03;1.11019;;;27.30;
2016.07.28 00:36:02;Sell;0.21;GBPUSD;1.32461;;1.32293;2016.07.28 00:55:02;1.32293;;;35.28;[tp]
2016.07.27 17:51:01;Buy;0.01;USDCAD;1.32201;;1.32251;2016.07.27 17:55:46;1.32251;;;0.38;[tp]
2016.07.27 00:19:03;Sell;0.01;EURUSD;1.09853;;1.09853;2016.07.27 15:39:24;1.09909;;;-0.56;
2016.07.27 00:55:00;Sell;0.04;EURUSD;1.09888;;1.09853;2016.07.27 15:39:22;1.09910;;;-0.88;
2016.07.27 01:02:00;Sell;0.02;EURUSD;1.09903;;1.09853;2016.07.27 15:39:21;1.09911;;;-0.16;
2016.07.27 01:17:01;Sell;0.02;EURUSD;1.09923;;1.09853;2016.07.27 15:39:20;1.09911;;;0.24;
2016.07.27 03:17:00;Sell;0.02;EURUSD;1.09945;;1.09853;2016.07.27 15:39:19;1.09912;;;0.66;
2016.07.27 03:33:00;Sell;0.03;EURUSD;1.09976;;1.09853;2016.07.27 15:39:18;1.09911;;;1.95;
2016.07.27 09:28:02;Sell;0.05;EURUSD;1.10029;;1.09853;2016.07.27 15:39:16;1.09911;;;5.90;
2016.07.27 12:17:00;Buy;0.03;AUDUSD;0.74680;;0.74789;2016.07.27 12:35:48;0.74785;;;3.15;
2016.07.27 11:36:00;Buy;0.03;AUDUSD;0.74710;;0.74789;2016.07.27 12:35:48;0.74789;;;2.37;[tp]
2016.07.27 11:35:01;Buy;0.01;AUDUSD;0.74739;;0.74789;2016.07.27 12:35:48;0.74789;;;0.50;[tp]
